,Title,Year of Release,Duration in min,Genre,Rating,Votes in Views,Gross in Millions,Action,Horror,Drama,Crime,Comedy,Thriller,Sci-Fi,Mystery,Adventure,Biography,war
74,Saving Private Ryan,1998,169,"Drama, War            ",8.6,664430,100.55,0,0,1,0,0,0,0,0,0,0,1
75,Sin City,2005,124,"Crime, Thriller            ",8.0,271472,47.7,0,0,0,1,0,1,0,0,0,0,0
76,Saw,2004,103,"Horror, Mystery, Thriller            ",7.6,532723,92.05,0,1,0,0,0,1,0,1,0,0,0
77,My Left Foot: The Story of Christy Brown,1989,103,"Biography, Drama            ",7.9,506167,107.83,0,0,1,0,0,0,0,0,0,1,0
78,Bowling for Columbine,2002,120,"Documentary, Crime, Drama            ",8.0,688116,315.06,0,0,1,1,0,0,0,0,0,0,0
79,Man on Fire,2004,146,"Action, Crime, Drama            ",7.7,52362,16.79,1,0,1,1,0,0,0,0,0,0,0
80,Almost Famous,2000,122,"Adventure, Comedy, Drama            ",7.9,643007,389.81,0,0,1,0,1,0,0,0,1,0,0
81,Django Unchained,2012,165,"Drama, Western            ",8.5,147644,81.9,0,0,1,0,0,0,0,0,0,0,0
82,12 Angry Men,1957,96,"Crime, Drama            ",9.0,267030,75.75,0,0,1,1,0,0,0,0,0,0,0
83,Memento,2000,113,"Mystery, Thriller            ",8.5,36104,0.02,0,0,0,0,0,1,0,1,0,0,0
84,Rain Man,1988,133,Drama            ,8.0,120647,14.43,0,0,1,0,0,0,0,0,0,0,0
85,Goldfinger,1964,110,"Action, Adventure, Thriller            ",7.7,163505,28.78,1,0,0,0,0,1,0,0,1,0,0
86,The Social Network,2010,120,"Biography, Drama            ",7.8,46142,1.8,0,0,1,0,0,0,0,0,0,1,0
87,American Psycho,2000,102,"Crime, Drama, Horror            ",7.6,370472,215.29,0,1,1,1,0,0,0,0,0,0,0
88,Men in Black,1997,98,"Action, Adventure, Comedy            ",7.3,212881,82.35,1,0,0,0,1,0,0,0,1,0,0
89,No Country for Old Men,2007,122,"Crime, Drama, Thriller            ",8.2,185112,40.9,0,0,1,1,0,1,0,0,0,0,0
90,Airplane!,1980,88,Comedy            ,7.7,328196,55.69,0,0,0,0,1,0,0,0,0,0,0
91,There Will Be Blood,2007,158,Drama            ,8.2,137754,32.22,0,0,1,0,0,0,0,0,0,0,0
92,Inception,2010,148,"Action, Adventure, Sci-Fi            ",8.8,547316,324.59,1,0,0,0,0,0,1,0,1,0,0
93,JFK,1991,189,"Drama, History, Thriller            ",8.0,231110,14.67,0,0,1,0,0,1,0,0,0,0,0
94,King Kong,2005,187,"Action, Adventure, Drama            ",7.2,382167,353.01,1,0,1,0,0,0,0,0,1,0,0
95,The Terminator,1984,107,"Action, Sci-Fi            ",8.1,84108,10.0,1,0,0,0,0,0,1,0,0,0,0
96,The Lord of the Rings: The Fellowship of the Ring,2001,178,"Action, Adventure, Drama            ",8.9,27683,0.05,1,0,1,0,0,0,0,0,1,0,0
97,Kill Bill: Vol. 1,2003,111,"Action, Crime, Drama            ",8.2,413088,46.89,1,0,1,1,0,0,0,0,0,0,0
98,The Silence of the Lambs,1991,118,"Crime, Drama, Thriller            ",8.6,136921,52.1,0,0,1,1,0,1,0,0,0,0,0
99,The Color of Money,1986,119,"Drama, Sport            ",7.0,83594,16.31,0,0,1,0,0,0,0,0,0,0,0
100,It's a Wonderful Life,1946,130,"Drama, Family, Fantasy            ",8.7,30356,0.96,0,0,1,0,0,0,0,0,0,0,0
101,Children of Men,2006,109,"Action, Drama, Sci-Fi            ",7.9,132578,30.0,1,0,1,0,0,0,1,0,0,0,0
102,In the Name of the Father,1993,133,"Biography, Crime, Drama            ",8.1,181272,41.62,0,0,1,1,0,0,0,0,0,1,0
103,American History X,1998,119,Drama            ,8.5,202981,8.75,0,0,1,0,0,0,0,0,0,0,0
104,Twelve Monkeys,1995,129,"Mystery, Sci-Fi, Thriller            ",8.0,103145,2.24,0,0,0,0,0,1,1,1,0,0,0
105,Dog Day Afternoon,1975,125,"Biography, Crime, Drama            ",8.0,122218,0.79,0,0,1,1,0,0,0,0,0,1,0
106,The Untouchables,1987,119,"Crime, Drama, Thriller            ",7.9,73924,4.56,0,0,1,1,0,1,0,0,0,0,0
107,"Il buono, il brutto, il cattivo",1966,161,"Adventure, Western            ",8.8,349512,25.38,0,0,0,0,0,0,0,0,1,0,0
108,Glengarry Glen Ross,1992,100,"Crime, Drama, Mystery            ",7.7,59405,108.42,0,0,1,1,0,0,0,1,0,0,0
109,The Wolf of Wall Street,2013,180,"Biography, Comedy, Crime            ",8.2,169793,16.38,0,0,0,1,1,0,0,0,0,1,0
110,Road to Perdition,2002,117,"Crime, Drama, Thriller            ",7.7,325384,177.0,0,0,1,1,0,1,0,0,0,0,0
111,Up,2009,96,"Animation, Adventure, Comedy            ",8.3,176110,3.33,0,0,0,0,1,0,0,0,1,0,0
112,Natural Born Killers,1994,119,"Action, Crime, Drama            ",7.2,26513,6.71,1,0,1,1,0,0,0,0,0,0,0
113,Out of Sight,1998,123,"Comedy, Crime, Drama            ",7.0,228568,67.29,0,0,1,1,1,0,0,0,0,0,0
114,The Bourne Identity,2002,119,"Action, Mystery, Thriller            ",7.9,81698,48.2,1,0,0,0,0,1,0,1,0,0,0
115,An American Werewolf in London,1981,97,"Comedy, Horror            ",7.5,100726,22.49,0,1,0,0,1,0,0,0,0,0,0
116,United 93,2006,111,"Action, Drama, History            ",7.6,16110,0.86,1,0,1,0,0,0,0,0,0,0,0
117,Full Metal Jacket,1987,116,"Drama, War            ",8.3,343239,173.59,0,0,1,0,0,0,0,0,0,0,1
118,The General,1998,124,"Biography, Crime, Drama            ",7.2,162825,46.96,0,0,1,1,0,0,0,0,0,1,0
119,The Deer Hunter,1978,183,"Drama, War            ",8.1,107276,3.13,0,0,1,0,0,0,0,0,0,0,1
120,Desperado,1995,104,"Action, Crime, Thriller            ",7.2,104889,45.95,1,0,0,1,0,1,0,0,0,0,0
121,Interview with the Vampire: The Vampire Chronicles,1994,123,"Drama, Fantasy, Horror            ",7.5,102660,27.09,0,1,1,0,0,0,0,0,0,0,0
122,Things to Do in Denver When You're Dead,1995,115,"Crime, Drama, Thriller            ",6.8,48482,0.23,0,0,1,1,0,1,0,0,0,0,0
123,Little Miss Sunshine,2006,101,"Comedy, Drama            ",7.8,58097,1.71,0,0,1,0,1,0,0,0,0,0,0
124,Carlito's Way,1993,144,"Crime, Drama, Thriller            ",7.9,39627,35.51,0,0,1,1,0,1,0,0,0,0,0
125,Casino Royale,2006,144,"Action, Adventure, Thriller            ",8.0,22190,1.91,1,0,0,0,0,1,0,0,1,0,0
126,Dirty Harry,1971,102,"Action, Crime, Thriller            ",7.7,648119,424.67,1,0,0,1,0,1,0,0,0,0,0
127,Gremlins,1984,106,"Comedy, Fantasy, Horror            ",7.3,47229,2.65,0,1,0,0,1,0,0,0,0,0,0
128,Butch Cassidy and the Sundance Kid,1969,110,"Biography, Crime, Drama            ",8.0,434224,66.26,0,0,1,1,0,0,0,0,0,1,0
129,Ocean's Eleven,2001,116,"Crime, Thriller            ",7.7,151858,106.89,0,0,0,1,0,1,0,0,0,0,0
130,The Lord of the Rings: The Two Towers,2002,179,"Action, Adventure, Drama            ",8.8,233947,74.7,1,0,1,0,0,0,0,0,1,0,0
131,Amores perros,2000,154,"Drama, Thriller            ",8.1,65143,20.5,0,0,1,0,0,1,0,0,0,0,0
132,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,84,Comedy            ,7.4,373781,209.84,0,0,0,0,1,0,0,0,0,0,0
133,Austin Powers: The Spy Who Shagged Me,1999,95,"Action, Adventure, Comedy            ",6.6,55389,129.8,1,0,0,0,1,0,0,0,1,0,0
134,Batman Returns,1992,126,"Action, Crime, Fantasy            ",7.1,446875,90.14,1,0,0,1,0,0,0,0,0,0,0
135,The Virgin Suicides,1999,97,"Drama, Romance            ",7.2,2782,0.51,0,0,1,0,0,0,0,0,0,0,0
136,The Life Aquatic with Steve Zissou,2004,119,"Action, Adventure, Comedy            ",7.3,19276,5.0,1,0,0,0,1,0,0,0,1,0,0
137,Requiem for a Dream,2000,102,Drama            ,8.3,204340,6.39,0,0,1,0,0,0,0,0,0,0,0
138,The Italian Job,1969,99,"Action, Comedy, Crime            ",7.2,62570,42.37,1,0,0,1,1,0,0,0,0,0,0
139,Get Carter,1971,112,"Action, Crime, Thriller            ",7.4,18286,32.48,1,0,0,1,0,1,0,0,0,0,0
140,The Rules of Attraction,2002,110,"Comedy, Drama, Romance            ",6.6,3841,0.01,0,0,1,0,1,0,0,0,0,0,0
141,Zodiac,2007,157,"Crime, Drama, Mystery            ",7.7,26193,2.3,0,0,1,1,0,0,0,1,0,0,0
142,Hot Fuzz,2007,121,"Action, Comedy, Mystery            ",7.8,74741,38.04,1,0,0,0,1,0,0,1,0,0,0
143,"O Brother, Where Art Thou?",2000,107,"Adventure, Comedy, Crime            ",7.7,213172,44.54,0,0,0,1,1,0,0,0,1,0,0
144,Braindead,1992,104,"Comedy, Fantasy, Horror            ",7.5,150064,1.74,0,1,0,0,1,0,0,0,0,0,0
